date,milestone,basis,status,scope,source_url,note
2024-08-01,Initial delegated-power period began.,Art. 97(2),past,"Commission powers to adopt delegated acts under Articles 6, 7, 11, 43, 47, 51, 52 and 53 for five years.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_97,Article 97(2) confers the powers for five years from 1 August 2024.
2024-08-01,Regulation entered into force.,Art. 113,past,"Entry into force of Regulation (EU) 2024/1689, twenty days after publication in the Official Journal.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_113,Official timeline lists 01 Aug 2024 as entry into force. © European Union.
2024-11-02,Member States' Article 77 authorities list due.,Art. 77(2),past,Public authorities or bodies supervising or enforcing Union law protecting fundamental rights were to be identified and made public.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_77,Three months after entry into force.
2025-02-02,Chapters I and II started to apply.,Art. 113(a),past,"General provisions, including Article 4 AI literacy, and prohibited AI practices in Article 5 as then in force.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_113,The Commission timeline states general provisions/AI literacy and prohibitions apply from this date; the later Omnibus adds a new prohibition applying in December 2026.
2025-02-04,Commission published guidelines on prohibited AI practices.,Commission announcement,past,Article 5 prohibitions; practical guidance under Article 96.,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-prohibited-artificial-intelligence-ai-practices-defined-ai-act,The page is dated 04 February 2025 and describes non-binding Commission interpretation.
2025-02-04,Commission published guidelines on the AI-system definition.,Commission announcement,past,Article 3(1) definition of an AI system; practical guidance under Article 96(1)(f).,https://digital-strategy.ec.europa.eu/en/node/13340/printable/pdf,Official Digital Strategy printable PDF for the Commission's AI-system-definition guidelines.
2025-05-02,GPAI code-of-practice readiness deadline.,Art. 56(9),past,Codes of practice for GPAI obligations in Articles 53 and 55 were to be ready at the latest by this date.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_56,Final GPAI Code was received by the Commission on 2025-07-10 and approved on 2025-08-01.
2025-07-02,GPAI provider workshop held during Code drafting.,Commission announcement,past,General-purpose AI Code of Practice drafting process.,https://digital-strategy.ec.europa.eu/en/policies/ai-code-practice,The Commission's Code drafting timeline lists a GPAI provider workshop on July 2 2025.
2025-07-03,GPAI Code closing plenary held.,Commission announcement,past,General-purpose AI Code of Practice drafting process.,https://digital-strategy.ec.europa.eu/en/policies/ai-code-practice,The Commission's Code drafting timeline lists a closing plenary on July 3 2025.
2025-07-10,Commission received final GPAI Code of Practice.,Commission announcement,past,"Voluntary compliance tool for GPAI transparency, copyright, safety and security obligations.",https://digital-strategy.ec.europa.eu/en/news/general-purpose-ai-code-practice-now-available,Official page states the Code is designed to help industry comply with GPAI rules applying from 2025-08-02.
2025-07-18,Commission published guidelines for providers of GPAI models.,Commission announcement,past,Guidance for providers of general-purpose AI models on obligations taking effect on 2025-08-02.,https://digital-strategy.ec.europa.eu/en/news/commission-publishes-guidelines-providers-general-purpose-ai-models,Publication page dated 18 July 2025.
2025-08-01,Commission and AI Board approved the GPAI Code as adequate.,Commission announcement,past,Adequacy assessment for voluntary demonstration of compliance with GPAI obligations.,https://digital-strategy.ec.europa.eu/en/library/commission-opinion-assessment-general-purpose-ai-code-practice,The Commission and AI Board confirmed the Code is an adequate voluntary tool.
2025-08-01,First annual Commission assessment cycle began.,Art. 112(1),past,"Annual assessment of whether Annex III and Article 5 need amendment, until the end of the delegated-power period.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_112,Date calculated as the first anniversary following entry into force.
2025-08-02,Commission serious-incident reporting guidance deadline.,Art. 73(7),past,Dedicated guidance to facilitate compliance with serious-incident reporting obligations.,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-73,Article 73(7) sets the deadline and requires regular assessment.
2025-08-02,First Member State resources report due.,Art. 70(6),past,Member States report to the Commission on financial and human resources of national competent authorities; every two years thereafter.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_70,Repeats every two years after this date.
2025-08-02,"GPAI, governance, notified-body and penalty provisions started to apply.",Art. 113(b),past,"Chapter III Section 4, Chapter V, Chapter VII, Chapter XII and Article 78, except Article 101.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_113,Commission timeline also states GPAI rules apply and governance must be in place.
2025-08-02,National competent authorities and single points of contact were due.,Art. 70(2),past,Member States were to designate responsible market-surveillance authorities and notify the Commission of the single point of contact.,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission list says notifications are being considered and the list is updated continuously.
2025-11-19,Commission proposed the Digital Omnibus on AI Regulation.,Commission announcement,past,Targeted simplification measures affecting AI Act implementation timelines and administrative obligations.,https://digital-strategy.ec.europa.eu/en/library/digital-omnibus-ai-regulation-proposal,The proposal was later adopted; the Commission's proposal page links to the 2026-07-27 entry-into-force announcement.
2026-02-02,High-risk classification guidelines deadline.,Art. 6(5),past,Commission guidelines under Article 96 with practical examples of high-risk and non-high-risk AI systems.,https://ai-act-service-desk.ec.europa.eu/en/guidelines-classification-high-risk-ai-systems,Official Service Desk page states draft Guidelines were open for consultation until 2026-07-23 before formal adoption.
2026-02-02,Post-market monitoring-plan template implementing act deadline.,Art. 72(3),past,Implementing act for a template and list of elements for high-risk AI post-market monitoring plans.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_72,Article 72(3) sets this deadline.
2026-06-10,Commission published the final Code of Practice on AI-generated-content marking and labelling.,Commission announcement,past,Voluntary practical steps for Article 50 transparency obligations on generative AI and labelled content.,https://digital-strategy.ec.europa.eu/en/news/commission-publishes-code-practice-marking-and-labelling-ai-generated-content,Official page verifies final publication on 10 June 2026 and application of related transparency duties from 2026-08-02.
2026-07-27,AI Omnibus entered into force.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 2,past,"Amendments to AI Act implementation timelines, simplification, new prohibition, sandbox timing and governance/enforcement alignment.",https://digital-strategy.ec.europa.eu/en/news/ai-omnibus-enters-force,Commission page links the full legislative text at https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ:L_202601744.
2026-08-02,General application date for non-deferred rules.,Art. 113,past,"Majority of AI Act rules, including Article 50 transparency obligations and Article 101 GPAI provider fines, except rules deferred by the AI Omnibus.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,Official timeline states the majority of rules come into force and enforcement starts for applicable rules on this date.
2026-08-02,Legacy high-risk AI significant-change transition date.,Art. 111(2),past,"Operators of high-risk AI systems, other than Annex X large-scale IT components, placed on the market or put into service before 2026-08-02.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_111,"Article 111(2) says the Regulation applies to those legacy high-risk systems only if, as from this date, they are subject to significant design changes; public-authority systems have a separate 2030 deadline."
2026-08-02,Original Annex III high-risk application date deferred.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 1,deferred,High-risk AI systems listed in Annex III that would otherwise have been covered by the general application date.,https://digital-strategy.ec.europa.eu/en/news/ai-omnibus-enters-force,The Commission's AI Omnibus page confirms Annex III high-risk rules now apply starting 2027-12-02.
2026-08-02,Original national AI regulatory sandbox deadline deferred.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 1,deferred,Member State obligation to have at least one operational AI regulatory sandbox.,https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,The original Article 57(1) deadline was 2026-08-02; the official timeline now lists 2027-08-02.
2026-12-02,New Omnibus prohibition and Article 50(2) transition apply.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 1,scheduled,New prohibition for AI systems generating non-consensual sexual deepfakes/CSAM; transition for some providers generating synthetic content placed on the market before 2026-08-02.,https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,Official timeline marks this milestone with Digital Omnibus footnote.
2027-08-02,GPAI legacy-model compliance deadline.,Art. 111(3),scheduled,Providers of GPAI models placed on the market before 2025-08-02 must comply with GPAI obligations.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_111,Article 111(3) transition for existing general-purpose AI models.
2027-08-02,Member State AI regulatory sandboxes operational.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 1,deferred,At least one AI regulatory sandbox per Member State.,https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,The official timeline says Member States should have at least one AI regulatory sandbox per country operational by this date.
2027-08-02,Original Article 6(1) Annex I high-risk application date deferred.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 1,deferred,Article 6(1) high-risk AI embedded in regulated products covered by Annex I.,https://digital-strategy.ec.europa.eu/en/news/ai-omnibus-enters-force,Article 113(c) originally set 2027-08-02; AI Omnibus page confirms Annex I embedded-product rules now apply 2028-08-02.
2027-12-02,Deferred Annex III high-risk AI rules apply.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 1,deferred,Rules for high-risk AI systems in Annex III.,https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,Official timeline states Annex III high-risk rules apply on 02 Dec 2027 following the Digital Omnibus.
2028-08-02,AI Office evaluation report due.,Art. 112(5),scheduled,"Commission evaluation of whether the AI Office has sufficient powers, competences, enforcement role and resources.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_112,One-off evaluation deadline in Article 112(5).
2028-08-02,Deferred Annex I embedded high-risk AI rules apply.,Regulation (EU) 2026/1744 (OJ L_202601744) Art. 1,deferred,High-risk AI embedded in regulated products/safety components covered by Annex I.,https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,Official timeline states Annex I embedded-product high-risk rules apply on 02 Aug 2028 after the Digital Omnibus.
2028-08-02,First targeted evaluation reports due.,Art. 112(2),scheduled,"Commission evaluation of possible changes to Annex III area headings, Article 50 transparency measures, and supervision/governance effectiveness.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_112,Repeats every four years thereafter.
2028-08-02,GPAI energy-efficient standardisation review due.,Art. 112(6),scheduled,Progress report on standardisation deliverables for energy-efficient development of general-purpose AI models and need for further measures.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_112,Repeats every four years thereafter.
2028-08-02,Voluntary codes-of-conduct impact review due.,Art. 112(7),scheduled,"Commission evaluation of voluntary codes of conduct for non-high-risk AI systems, including additional requirements and environmental sustainability.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_112,Repeats every three years thereafter.
2028-11-01,Delegated-power report due.,Art. 97(2),scheduled,"Commission report on the delegation of powers for Articles 6, 7, 11, 43, 47, 51, 52 and 53.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_97,Calculated as not later than nine months before the five-year delegation period ending 2029-08-01.
2029-05-01,Deadline to oppose delegated-power tacit extension.,Art. 97(2),scheduled,European Parliament or Council opposition to tacit extension of delegated powers.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_97,Calculated as not later than three months before the five-year period ends.
2029-08-01,Initial delegated-power period ends or tacitly extends.,Art. 97(2),scheduled,Five-year delegation of Commission powers from 2024-08-01.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_97,Tacitly extends for identical periods unless opposed.
2029-08-02,General evaluation and review report due.,Art. 112(3),scheduled,"Commission report evaluating and reviewing the Regulation, including enforcement structure and possible need for a Union agency.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_112,Repeats every four years thereafter and reports are public.
2030-08-02,Public-authority high-risk legacy-system compliance deadline.,Art. 111(2),scheduled,Providers and deployers of high-risk AI systems intended for public authorities and placed on the market or put into service before 2026-08-02.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_111,Article 111(2) transition applies in any case to systems intended to be used by public authorities.
