obligation_id,article,paragraph,point,actor,obligation_type,risk_tier,summary,quote,applies_from,applies_from_basis,transitional_note,penalty_basis,legal_practice_relevance,legal_practice_note,cross_references,url,applies_from_as_enacted,applies_from_basis_as_enacted,text_amended_since_coding,coded_from
art-1-1-purpose,1,1,,"[""other""]",scope-or-definition,not-tier-specific,"The Regulation states its purpose as improving the internal market, promoting human-centric trustworthy AI, and protecting health, safety, fundamental rights, democracy, rule of law and the environment.","""The purpose of this Regulation is to improve the functioning of the internal market and promote the uptake of human-centric and trustworthy artificial intelligence (AI), while ensuring a high level of protection of health, safety, fundamental rights enshrined in the Charter, including democracy, the rule of law and environmental protection, against the harmful effects of AI systems in the Union and supporting""",2025-02-02,Art. 113(a),,,medium,"Frames how AI obligations apply to legal technology, court systems and public-sector uses of AI.",[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_1,2025-02-02,Art. 113(a),False,enacted-2024
art-1-2-rules,1,2,,"[""operator-any"", ""member-state"", ""commission""]",scope-or-definition,not-tier-specific,"The Regulation lays down harmonised rules on AI systems, prohibitions, high-risk requirements, transparency, GPAI, governance, enforcement and innovation support.","""This Regulation lays down:""",2025-02-02,Art. 113(a),,,medium,"Identifies the regulatory categories that can reach legal-AI vendors, deployers and courts.",[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_1,2025-02-02,Art. 113(a),False,enacted-2024
art-2-1-scope-actors,2,1,,"[""provider"", ""deployer"", ""importer"", ""distributor"", ""product-manufacturer"", ""authorised-representative"", ""natural-person""]",scope-or-definition,not-tier-specific,"The Regulation applies to providers, deployers, importers, distributors, product manufacturers, authorised representatives and affected persons linked to Union-market AI systems or AI outputs used in the Union.","""This Regulation applies to:""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,high,"EU law firms, courts, in-house legal teams, and non-EU legal-AI vendors can fall in scope where establishment, use, or output is in the Union.",[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-2-product-scope,2,2,,"[""provider"", ""product-manufacturer""]",scope-or-definition,high-risk,"For Article 6(1) high-risk AI systems related to Section B Annex I products, only the specified AI Act provisions apply, with Articles 57 to 59 applying only where integrated into that harmonisation law.","""For AI systems classified as high-risk AI systems in accordance with Article 6(1) related to products covered by the Union harmonisation legislation listed in Section B of Annex I, only Article 6(1), Article 60a and Articles 102 to 112 shall apply. Articles 57, 58 and 59 shall apply only in so far as the requirements for high-risk AI systems under""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"For Art. 6(1)/Annex I high-risk systems, Art. 113(c)(ii) as amended applies the corresponding obligation from 2028-08-02; Art. 111(2) gives public-authority high-risk systems until 2030-08-02.",,low,"Mostly concerns product-regulated AI rather than ordinary law-firm software, though some legal-sector AI could be embedded in regulated products.","[""Art. 6(1)"", ""Annex I Section B"", ""Art. 57"", ""Art. 58"", ""Art. 59"", ""Art. 60a"", ""Art. 102-112""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-3-national-security-exclusion,2,3,,"[""member-state"", ""other""]",derogation-or-exemption,not-tier-specific,"The Regulation excludes areas outside Union law and does not affect Member State national-security competences, regardless of the entity entrusted with those tasks.","""This Regulation does not apply to areas outside the scope of Union law, and shall not, in any event, affect the competences of the Member States concerning national security, regardless of the type of entity entrusted by the Member States with carrying out tasks in relation to those competences.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,low,"May matter in national-security or defence-adjacent public-sector legal contexts, but not ordinary legal practice AI use.",[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-4-third-country-cooperation,2,4,,"[""public-authority-deployer"", ""other""]",derogation-or-exemption,not-tier-specific,Third-country public authorities and international organisations are outside scope when using AI under law-enforcement or judicial-cooperation agreements with adequate fundamental-rights safeguards.,"""This Regulation applies neither to public authorities in a third country nor to international organisations falling within the scope of this Regulation pursuant to paragraph 1, where those authorities or organisations use AI systems in the framework of international cooperation or agreements for law enforcement and judicial cooperation with the Union or with one or more Member States, provided that""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,medium,Relevant to cross-border judicial cooperation where non-EU authorities use AI under agreements with EU or Member State bodies.,[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-5-intermediary-liability,2,5,,"[""provider"", ""other""]",scope-or-definition,not-tier-specific,The Regulation does not affect the Digital Services Act intermediary-liability provisions for providers of intermediary services.,"""This Regulation shall not affect the application of the provisions on the liability of providers of intermediary services as set out in Chapter II of Regulation (EU) 2022/2065.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,low,Relevant mainly to legal advice about overlapping platform regimes rather than to day-to-day legal AI deployment.,"[""Regulation (EU) 2022/2065""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-6-research-development,2,6,,"[""provider""]",derogation-or-exemption,not-tier-specific,"AI systems or AI models, including their output, that are specifically developed and put into service solely for scientific research and development are excluded.","""This Regulation does not apply to AI systems or AI models, including their output, specifically developed and put into service for the sole purpose of scientific research and development.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,medium,Legal-AI research prototypes may fall outside the Regulation only where the sole purpose is scientific research and development.,[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-7-data-protection,2,7,,"[""operator-any"", ""union-institution""]",scope-or-definition,not-tier-specific,"Union personal-data, privacy and communications-confidentiality law continues to apply to personal data processed in connection with AI Act rights and obligations, subject to Articles 4a and 59.","""Union law on the protection of personal data, privacy and the confidentiality of communications applies to personal data processed in connection with the rights and obligations laid down in this Regulation. Without prejudice to Articles 4a and 59 of this Regulation, this Regulation shall not affect Regulation (EU) 2016/679 or (EU) 2018/1725, or Directive 2002/58/EC or (EU) 2016/680.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,high,"Legal AI often processes client, case, employee or court-user personal data, so GDPR and law-enforcement data rules remain independently relevant.","[""Art. 4a"", ""Art. 59"", ""Regulation (EU) 2016/679"", ""Regulation (EU) 2018/1725"", ""Directive 2002/58/EC"", ""Directive (EU) 2016/680""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-8-pre-market-testing,2,8,,"[""provider""]",derogation-or-exemption,not-tier-specific,"Pre-market research, testing and development activities for AI systems or models are excluded, but those activities must follow applicable Union law and real-world testing is not covered by the exclusion.","""This Regulation does not apply to any research, testing or development activity regarding AI systems or AI models prior to their being placed on the market or put into service. Such activities shall be conducted in accordance with applicable Union law. Testing in real world conditions shall not be covered by that exclusion.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,medium,"Legal-AI vendors can prototype before market release, but real-world pilots with clients or courts are not covered by this exclusion.",[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
