country,country_name,authority,authority_en,role,designated,designation_date,url,source_url,note
AT,Austria,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
BE,Belgium,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
BG,Bulgaria,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
CY,Cyprus,ΕΠΙΤΡΟΠΟΣ ΕΠΙΚΟΙΝΩΝΙΩΝ,Commissioner of Communications,single-point-of-contact,True,,https://ai.cy/,https://ai-act-service-desk.ec.europa.eu/en/national-resources,"AI Act Service Desk says the Commissioner is designated Notifying Authority, Market Surveillance Authority and national Single Point of Contact."
CZ,Czech Republic,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
DE,Germany,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
DK,Denmark,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
EE,Estonia,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
ES,Spain,Agencia Española de Supervisión de Inteligencia Artificial,Spanish Artificial Intelligence Surveillance Agency,single-point-of-contact,True,,https://aesia.digital.gob.es/en/es,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission list marks this Single Point of Contact with an asterisk: national designation decision still pending final adoption.
FI,Finland,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
FR,France,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
